Change_log	Original_gene_name	Original_transcript_ID	Original_transcript_name	Original_protein_accession	OGSv0_ID	MCOTv1.1	Dmel		
no change - only ID and name update	103520238	XM_008485332.1	XM_008485332.1	XP_008483554.1	Dcitr03265.1	MCOT08641.0.MM	
replaced by Apollo model: simple replacement	103520237	XM_008485331.1	XM_008485331.1	XP_008483553.1	Dcitr18848.1	MCOT21710.0.CO	
no change - only ID and name update	103520236	XM_008485330.1	XM_008485330.1	XP_008483552.1	Dcitr03269.1	MCOT08854.0.MM	
no change - only ID and name update	103520235	XM_008485329.1	XM_008485329.1	XP_008483551.1	Dcitr03268.1		
no change - only ID and name update	103520234	XM_008485327.1	XM_008485327.1	XP_008483549.1	Dcitr03267.1	MCOT15914.0.CO	FBpp0071700
no change - only ID and name update	103520233	XM_008485326.1	XM_008485326.1	XP_008483548.1	Dcitr03270.1	MCOT05949.2.CT	
no change - only ID and name update	103520232	XM_008485325.1	XM_008485325.1	XP_008483547.1	Dcitr03271.1	MCOT01999.2.CT	FBpp0077261
no change - only ID and name update	103520230	XM_008485324.1	XM_008485324.1	XP_008483546.1	Dcitr03272.1		
no change - only ID and name update	103520229	XM_008485323.1	XM_008485323.1	XP_008483545.1	Dcitr03274.1	MCOT00524.0.CT	
no change - only ID and name update	103520228	XM_008485322.1	XM_008485322.1	XP_008483544.1	Dcitr03273.1	MCOT00524.0.CT	
no change - only ID and name update	103520227	XM_008485321.1	XM_008485321.1	XP_008483543.1	Dcitr03275.1	MCOT15148.0.CT	
no change - only ID and name update	103520226	XM_008485320.1	XM_008485320.1	XP_008483542.1	Dcitr03276.1		
no change - only ID and name update	103520225	XM_008485319.1	XM_008485319.1	XP_008483541.1	Dcitr03277.1	MCOT16424.2.CC	FBpp0074009
no change - only ID and name update	103520224	XM_008485318.1	XM_008485318.1	XP_008483540.1	Dcitr03279.1		
no change - only ID and name update	103520223	XM_008485316.1	XM_008485316.1	XP_008483538.1	Dcitr03278.1	MCOT04401.0.CT	
no change - only ID and name update	103520222	XM_008485315.1	XM_008485315.1	XP_008483537.1	Dcitr03280.1	MCOT22690.0.CO	
no change - only ID and name update	103520221	XM_008485314.1	XM_008485314.1	XP_008483536.1	Dcitr03282.1		
no change - only ID and name update	103520219	XM_008485313.1	XM_008485313.1	XP_008483535.1	Dcitr03281.1	MCOT08530.0.MM	
no change - only ID and name update	103520218	XM_008485312.1	XM_008485312.1	XP_008483534.1	Dcitr03284.1		
no change - only ID and name update	103520217	XM_008485311.1	XM_008485311.1	XP_008483533.1	Dcitr03283.1	MCOT02617.0.CC	
no change - only ID and name update	103520216	XM_008485310.1	XM_008485310.1	XP_008483532.1	Dcitr03285.1	MCOT23342.0.CO	
no change - only ID and name update	103520215	XM_008485309.1	XM_008485309.1	XP_008483531.1	Dcitr03286.1		
no change - only ID and name update	103520212	XM_008485305.1	XM_008485305.1	XP_008483527.1	Dcitr03290.1	MCOT18437.2.CT	
no change - only ID and name update	103520214	XM_008485308.1	XM_008485308.1	XP_008483530.1	Dcitr03289.1	MCOT19085.0.CO	
no change - only ID and name update	103520211	XM_008485304.1	XM_008485304.1	XP_008483526.1	Dcitr03288.1	MCOT02138.0.CT	
no change - only ID and name update	103520213	XM_008485306.1	XM_008485306.1	XP_008483528.1	Dcitr03287.1		FBpp0084524
no change - only ID and name update	103520209	XM_008485303.1	XM_008485303.1	XP_008483525.1	Dcitr03291.1	MCOT04863.0.CO	
no change - only ID and name update	103520208	XM_008485302.1	XM_008485302.1	XP_008483524.1	Dcitr03293.1	MCOT12777.0.CT	
no change - only ID and name update	103520207	XM_008485301.1	XM_008485301.1	XP_008483523.1	Dcitr03292.1	MCOT21704.1.CO	
no change - only ID and name update	103520206	XM_008485300.1	XM_008485300.1	XP_008483522.1	Dcitr03294.1	MCOT05019.0.CT	FBpp0290326
no change - only ID and name update	103520205	XM_008485299.1	XM_008485299.1	XP_008483521.1	Dcitr03298.1	MCOT15108.0.CO	
no change - only ID and name update	103520204	XM_008485297.1	XM_008485297.1	XP_008483519.1	Dcitr03297.1	MCOT20948.0.CT	
no change - only ID and name update	103520203	XM_008485296.1	XM_008485296.1	XP_008483518.1	Dcitr03296.1	MCOT12783.2.CC	
no change - only ID and name update	103520202	XM_008485295.1	XM_008485295.1	XP_008483517.1	Dcitr03295.1	MCOT18009.0.CT	
no change - only ID and name update	103520201	XM_008485294.1	XM_008485294.1	XP_008483516.1	Dcitr03299.1	MCOT16030.2.CT	
no change - only ID and name update	103520199	XM_008485292.1	XM_008485292.1	XP_008483514.1	Dcitr03301.1		FBpp0289451
no change - only ID and name update	103520200	XM_008485293.1	XM_008485293.1	XP_008483515.1	Dcitr03300.1		
no change - only ID and name update	103520197	XM_008485290.1	XM_008485290.1	XP_008483512.1	Dcitr03304.1	MCOT09915.0.MM	
no change - only ID and name update	103520196	XM_008485289.1	XM_008485289.1	XP_008483511.1	Dcitr03303.1	MCOT09405.0.MM	
no change - only ID and name update	103520195	XM_008485288.1	XM_008485288.1	XP_008483510.1	Dcitr03302.1	MCOT08721.0.MM	
no change - only ID and name update	103520194	XM_008485287.1	XM_008485287.1	XP_008483509.1	Dcitr03307.1	MCOT14744.0.CO	
no change - only ID and name update	103520193	XM_008485286.1	XM_008485286.1	XP_008483508.1	Dcitr03306.1	MCOT01618.0.CT	
no change - only ID and name update	103520192	XM_008485285.1	XM_008485285.1	XP_008483507.1	Dcitr03305.1	MCOT13693.0.CT	
replaced by Apollo model: simple replacement	103520190	XM_008485282.1	XM_008485282.1	XP_008483504.1	Dcitr18850.1	MCOT15606.1.CC	
no change - only ID and name update	103520189	XM_008485281.1	XM_008485281.1	XP_008483503.1	Dcitr03309.1	MCOT19582.0.CO	
no change - only ID and name update	103520187	XM_008485280.1	XM_008485280.1	XP_008483502.1	Dcitr03308.1		
no change - only ID and name update	103520185	XM_008485279.1	XM_008485279.1	XP_008483501.1	Dcitr03311.1	MCOT18279.2.CT	
no change - only ID and name update	103520184	XM_008485278.1	XM_008485278.1	XP_008483500.1	Dcitr03310.1		FBpp0075994
no change - only ID and name update	103520183	XM_008485276.1	XM_008485276.1	XP_008483498.1	Dcitr03312.1	MCOT06383.1.CC	
no change - only ID and name update	103520183	XM_008485277.1	XM_008485277.1	XP_008483499.1	Dcitr03312.2	MCOT06383.1.CC	
no change - only ID and name update	103520182	XM_008485274.1	XM_008485274.1	XP_008483496.1	Dcitr03313.1	MCOT06281.0.CO	
no change - only ID and name update	103520181	XM_008485273.1	XM_008485273.1	XP_008483495.1	Dcitr03315.1	MCOT17903.0.CT	
no change - only ID and name update	103520180	XM_008485272.1	XM_008485272.1	XP_008483494.1	Dcitr03314.1	MCOT16581.0.CT	
no change - only ID and name update	103520178	XM_008485271.1	XM_008485271.1	XP_008483493.1	Dcitr03316.1		
no change - only ID and name update	103520177	XM_008485270.1	XM_008485270.1	XP_008483492.1	Dcitr03321.1	MCOT18593.0.CT	
no change - only ID and name update	103520176	XM_008485269.1	XM_008485269.1	XP_008483491.1	Dcitr03320.1	MCOT11077.0.MT	
no change - only ID and name update	103520173	XM_008485266.1	XM_008485266.1	XP_008483488.1	Dcitr03319.1	MCOT15140.1.CC	
no change - only ID and name update	103520175	XM_008485268.1	XM_008485268.1	XP_008483490.1	Dcitr03318.1	MCOT19357.1.CC	FBpp0083968
no change - only ID and name update	103520174	XM_008485267.1	XM_008485267.1	XP_008483489.1	Dcitr03317.1		
no change - only ID and name update	103520172	XM_008485265.1	XM_008485265.1	XP_008483487.1	Dcitr03322.1	MCOT14897.0.CT	FBpp0079444
no change - only ID and name update	103520169	XM_008485263.1	XM_008485263.1	XP_008483485.1	Dcitr03323.1		
no change - only ID and name update	103520167	XM_008485262.1	XM_008485262.1	XP_008483484.1	Dcitr03325.1		
no change - only ID and name update	103520166	XM_008485261.1	XM_008485261.1	XP_008483483.1	Dcitr03324.1		
no change - only ID and name update	103520165	XM_008485260.1	XM_008485260.1	XP_008483482.1	Dcitr03331.1	MCOT18160.2.CO	
no change - only ID and name update	103520164	XM_008485259.1	XM_008485259.1	XP_008483481.1	Dcitr03330.1	MCOT18160.2.CO	
no change - only ID and name update	103520163	XM_008485258.1	XM_008485258.1	XP_008483480.1	Dcitr03329.1	MCOT18160.2.CO	
no change - only ID and name update	103520162	XM_008485257.1	XM_008485257.1	XP_008483479.1	Dcitr03328.1	MCOT00590.0.CO	FBpp0078971
no change - only ID and name update	103520161	XM_008485256.1	XM_008485256.1	XP_008483478.1	Dcitr03327.1	MCOT00590.0.CO	
no change - only ID and name update	103520160	XM_008485254.1	XM_008485254.1	XP_008483476.1	Dcitr03326.1	MCOT00590.0.CO	
no change - only ID and name update	103520156	XM_008485253.1	XM_008485253.1	XP_008483475.1	Dcitr03332.1		
no change - only ID and name update	103520155	XM_008485252.1	XM_008485252.1	XP_008483474.1	Dcitr03333.1	MCOT22191.0.CO	FBpp0297081
no change - only ID and name update	103520153	XM_008485250.1	XM_008485250.1	XP_008483472.1	Dcitr03335.1	MCOT08344.0.MM	
no change - only ID and name update	103520154	XM_008485251.1	XM_008485251.1	XP_008483473.1	Dcitr03334.1		
no change - only ID and name update	103520152	XM_008485249.1	XM_008485249.1	XP_008483471.1	Dcitr03338.1	MCOT00303.0.CC	
no change - only ID and name update	103520151	XM_008485247.1	XM_008485247.1	XP_008483469.1	Dcitr03337.1	MCOT08077.0.MM	
no change - only ID and name update	103520150	XM_008485246.1	XM_008485246.1	XP_008483468.1	Dcitr03336.1	MCOT07564.0.MM	
no change - only ID and name update	103520149	XM_008485245.1	XM_008485245.1	XP_008483467.1	Dcitr03339.1		FBpp0078663
no change - only ID and name update	103520147	XM_008485244.1	XM_008485244.1	XP_008483466.1	Dcitr03340.1		
no change - only ID and name update	103520146	XM_008485243.1	XM_008485243.1	XP_008483465.1	Dcitr03343.1	MCOT00524.0.CT	
no change - only ID and name update	103520144	XM_008485241.1	XM_008485241.1	XP_008483463.1	Dcitr03342.1	MCOT10883.0.MM	
no change - only ID and name update	103520145	XM_008485242.1	XM_008485242.1	XP_008483464.1	Dcitr03341.1	MCOT02634.0.CT	
no change - only ID and name update	103520143	XM_008485240.1	XM_008485240.1	XP_008483462.1	Dcitr03344.1	MCOT00017.2.CC	
no change - only ID and name update	103520142	XM_008485239.1	XM_008485239.1	XP_008483461.1	Dcitr03345.1	MCOT20786.0.CC	FBpp0310439
no change - only ID and name update	103520141	XM_008485238.1	XM_008485238.1	XP_008483460.1	Dcitr03348.1		
no change - only ID and name update	103520140	XM_008485236.1	XM_008485236.1	XP_008483458.1	Dcitr03347.1	MCOT19551.3.CO	
no change - only ID and name update	103520139	XM_008485235.1	XM_008485235.1	XP_008483457.1	Dcitr03346.1	MCOT19551.2.CC	
no change - only ID and name update	103520137	XM_008485234.1	XM_008485234.1	XP_008483456.1	Dcitr03349.1	MCOT04466.0.CO	
no change - only ID and name update	103520135	XM_008485233.1	XM_008485233.1	XP_008483455.1	Dcitr03350.1	MCOT13737.0.CC	
no change - only ID and name update	103520133	XM_008485231.1	XM_008485231.1	XP_008483453.1	Dcitr03352.1		
no change - only ID and name update	103520132	XM_008485230.1	XM_008485230.1	XP_008483452.1	Dcitr03353.1	MCOT19384.2.CC	FBpp0290431
no change - only ID and name update	103520131	XM_008485229.1	XM_008485229.1	XP_008483451.1	Dcitr03355.1	MCOT16916.0.CC	
no change - only ID and name update	103520130	XM_008485227.1	XM_008485227.1	XP_008483449.1	Dcitr03354.1	MCOT19439.0.CC	
no change - only ID and name update	103520129	XM_008485226.1	XM_008485226.1	XP_008483448.1	Dcitr03356.1	MCOT15624.2.CC	
no change - only ID and name update	103520128	XM_008485225.1	XM_008485225.1	XP_008483447.1	Dcitr03358.1	MCOT21061.2.CO	FBpp0305988
no change - only ID and name update	103520127	XM_008485224.1	XM_008485224.1	XP_008483446.1	Dcitr03357.1	MCOT12050.0.MT	FBpp0072458
no change - only ID and name update	103520126	XM_008485223.1	XM_008485223.1	XP_008483445.1	Dcitr03360.1	MCOT05015.1.CC	
no change - only ID and name update	103520125	XM_008485222.1	XM_008485222.1	XP_008483444.1	Dcitr03359.1	MCOT21068.0.CO	
no change - only ID and name update	103520124	XM_008485221.1	XM_008485221.1	XP_008483443.1	Dcitr03361.1		
no change - only ID and name update	103520122	XM_008485218.1	XM_008485218.1	XP_008483440.1	Dcitr03363.1	MCOT14763.2.CO	
no change - only ID and name update	103520123	XM_008485219.1	XM_008485219.1	XP_008483441.1	Dcitr03362.1		
no change - only ID and name update	103520121	XM_008485217.1	XM_008485217.1	XP_008483439.1	Dcitr03364.1	MCOT19460.0.CT	FBpp0078204
no change - only ID and name update	103520119	XM_008485216.1	XM_008485216.1	XP_008483438.1	Dcitr03366.1		FBpp0074060
no change - only ID and name update	103520118	XM_008485215.1	XM_008485215.1	XP_008483437.1	Dcitr03365.1	MCOT18218.0.CO	
no change - only ID and name update	103520117	XM_008485214.1	XM_008485214.1	XP_008483436.1	Dcitr03369.1		
no change - only ID and name update	103520116	XM_008485213.1	XM_008485213.1	XP_008483435.1	Dcitr03368.1	MCOT15346.2.CT	
no change - only ID and name update	103520115	XM_008485212.1	XM_008485212.1	XP_008483434.1	Dcitr03367.1	MCOT15346.2.CT	
no change - only ID and name update	103520113	XM_008485211.1	XM_008485211.1	XP_008483433.1	Dcitr03371.1	MCOT02534.0.CO	
no change - only ID and name update	103520112	XM_008485209.1	XM_008485209.1	XP_008483431.1	Dcitr03370.1	MCOT12390.0.CC	
no change - only ID and name update	103520110	XM_008485207.1	XM_008485207.1	XP_008483429.1	Dcitr03373.1	MCOT01818.0.CO	FBpp0304648
no change - only ID and name update	103520111	XM_008485208.1	XM_008485208.1	XP_008483430.1	Dcitr03372.1	MCOT18479.0.CC	
no change - only ID and name update	103520108	XM_008485206.1	XM_008485206.1	XP_008483428.1	Dcitr03375.1	MCOT22681.0.CO	
no change - only ID and name update	103520107	XM_008485205.1	XM_008485205.1	XP_008483427.1	Dcitr03374.1	MCOT12213.0.CO	
no change - only ID and name update	103520103	XM_008485202.1	XM_008485202.1	XP_008483424.1	Dcitr03378.1		
no change - only ID and name update	103520106	XM_008485204.1	XM_008485204.1	XP_008483426.1	Dcitr03377.1	MCOT02666.1.CC	
no change - only ID and name update	103520105	XM_008485203.1	XM_008485203.1	XP_008483425.1	Dcitr03376.1	MCOT06355.2.CO	
no change - only ID and name update	103520102	XM_008485201.1	XM_008485201.1	XP_008483423.1	Dcitr03380.1	MCOT06567.2.CO	
no change - only ID and name update	103520101	XM_008485200.1	XM_008485200.1	XP_008483422.1	Dcitr03379.1	MCOT15105.0.CT	
no change - only ID and name update	103520100	XM_008485198.1	XM_008485198.1	XP_008483420.1	Dcitr03381.1	MCOT23034.0.CO	
no change - only ID and name update	103520099	XM_008485197.1	XM_008485197.1	XP_008483419.1	Dcitr03382.2	MCOT00820.0.CC	
no change - only ID and name update	103520099	XM_008485196.1	XM_008485196.1	XP_008483418.1	Dcitr03382.1	MCOT00820.0.CC	
no change - only ID and name update	103520098	XM_008485195.1	XM_008485195.1	XP_008483417.1	Dcitr03383.1		
no change - only ID and name update	103520097	XM_008485194.1	XM_008485194.1	XP_008483416.1	Dcitr03384.1	MCOT04154.3.CC	
no change - only ID and name update	103520096	XM_008485192.1	XM_008485192.1	XP_008483414.1	Dcitr03386.1		
no change - only ID and name update	103520095	XM_008485191.1	XM_008485191.1	XP_008483413.1	Dcitr03385.1	MCOT19594.0.CT	
no change - only ID and name update	103520094	XM_008485190.1	XM_008485190.1	XP_008483412.1	Dcitr03387.1	MCOT14007.0.CT	
no change - only ID and name update	103520093	XM_008485189.1	XM_008485189.1	XP_008483411.1	Dcitr03388.2	MCOT04218.0.CC	
no change - only ID and name update	103520093	XM_008485188.1	XM_008485188.1	XP_008483410.1	Dcitr03388.1	MCOT04218.0.CC	
no change - only ID and name update	103520093	XM_008485187.1	XM_008485187.1	XP_008483409.1	Dcitr03388.3	MCOT04218.0.CC	
no change - only ID and name update	103520089	XM_008485181.1	XM_008485181.1	XP_008483403.1	Dcitr03394.1	MCOT08041.0.MO	
no change - only ID and name update	103520087	XM_008485180.1	XM_008485180.1	XP_008483402.1	Dcitr03393.1	MCOT08041.0.MO	
no change - only ID and name update	103520086	XM_008485179.1	XM_008485179.1	XP_008483401.1	Dcitr03392.1	MCOT08041.0.MO	
no change - only ID and name update	103520092	XM_008485186.1	XM_008485186.1	XP_008483408.1	Dcitr03391.1	MCOT04830.0.CT	FBpp0310309
no change - only ID and name update	103520091	XM_008485183.1	XM_008485183.1	XP_008483405.1	Dcitr03390.1	MCOT23346.2.CO	
no change - only ID and name update	103520090	XM_008485182.1	XM_008485182.1	XP_008483404.1	Dcitr03389.1		
no change - only ID and name update	103520085	XM_008485178.1	XM_008485178.1	XP_008483400.1	Dcitr03395.1	MCOT15753.0.CT	
no change - only ID and name update	103520084	XM_008485177.1	XM_008485177.1	XP_008483399.1	Dcitr03396.1	MCOT15685.2.CO	
no change - only ID and name update	103520083	XM_008485176.1	XM_008485176.1	XP_008483398.1	Dcitr03398.1	MCOT13999.1.CO	
no change - only ID and name update	103520082	XM_008485174.1	XM_008485174.1	XP_008483396.1	Dcitr03397.1	MCOT05285.1.CC	
no change - only ID and name update	103520081	XM_008485173.1	XM_008485173.1	XP_008483395.1	Dcitr03400.1	MCOT07964.0.MM	
no change - only ID and name update	103520079	XM_008485172.1	XM_008485172.1	XP_008483394.1	Dcitr03399.1	MCOT19305.0.CO	
no change - only ID and name update	103520078	XM_008485171.1	XM_008485171.1	XP_008483393.1	Dcitr03402.1		
no change - only ID and name update	103520077	XM_008485170.1	XM_008485170.1	XP_008483392.1	Dcitr03401.1	MCOT03220.0.CT	
no change - only ID and name update	103520075	XM_008485168.1	XM_008485168.1	XP_008483390.1	Dcitr03404.1	MCOT08105.0.OO	
no change - only ID and name update	103520076	XM_008485169.1	XM_008485169.1	XP_008483391.1	Dcitr03403.1	MCOT12665.0.CT	
no change - only ID and name update	103520074	XM_008485167.1	XM_008485167.1	XP_008483389.1	Dcitr03406.1		
no change - only ID and name update	103520073	XM_008485166.1	XM_008485166.1	XP_008483388.1	Dcitr03405.1		
no change - only ID and name update	103520071	XM_008485164.1	XM_008485164.1	XP_008483386.1	Dcitr03407.1	MCOT02358.0.CO	
no change - only ID and name update	103520070	XM_008485163.1	XM_008485163.1	XP_008483385.1	Dcitr03409.1	MCOT03327.0.CO	FBpp0304506
no change - only ID and name update	103520068	XM_008485162.1	XM_008485162.1	XP_008483384.1	Dcitr03408.1	MCOT12602.0.CO	FBpp0289144
no change - only ID and name update	103520067	XM_008485161.1	XM_008485161.1	XP_008483383.1	Dcitr03410.1		
no change - only ID and name update	103520066	XM_008485160.1	XM_008485160.1	XP_008483382.1	Dcitr03412.1	MCOT13928.0.CT	
no change - only ID and name update	103520065	XM_008485159.1	XM_008485159.1	XP_008483381.1	Dcitr03411.1		
no change - only ID and name update	103520064	XM_008485158.1	XM_008485158.1	XP_008483380.1	Dcitr03413.2	MCOT20791.0.CC	
no change - only ID and name update	103520064	XM_008485157.1	XM_008485157.1	XP_008483379.1	Dcitr03413.1	MCOT20791.0.CC	FBpp0079751
no change - only ID and name update	103520062	XM_008485155.1	XM_008485155.1	XP_008483377.1	Dcitr03415.1	MCOT03563.0.CC	FBpp0074770
no change - only ID and name update	103520063	XM_008485156.1	XM_008485156.1	XP_008483378.1	Dcitr03414.1	MCOT19707.0.CO	
no change - only ID and name update	103520059	XM_008485153.1	XM_008485153.1	XP_008483375.1	Dcitr03417.1	MCOT21391.0.CT	
no change - only ID and name update	103520060	XM_008485154.1	XM_008485154.1	XP_008483376.1	Dcitr03416.1		
no change - only ID and name update	103520058	XM_008485152.1	XM_008485152.1	XP_008483374.1	Dcitr03418.1	MCOT17152.0.CT	
no change - only ID and name update	103520057	XM_008485151.1	XM_008485151.1	XP_008483373.1	Dcitr03421.1	MCOT00489.5.CC	
no change - only ID and name update	103520056	XM_008485150.1	XM_008485150.1	XP_008483372.1	Dcitr03420.1	MCOT16214.0.CC	
no change - only ID and name update	103520055	XM_008485149.1	XM_008485149.1	XP_008483371.1	Dcitr03419.1		
no change - only ID and name update	103520054	XM_008485148.1	XM_008485148.1	XP_008483370.1	Dcitr03422.1	MCOT19432.0.CO	
no change - only ID and name update	103520053	XM_008485147.1	XM_008485147.1	XP_008483369.1	Dcitr03423.1		
no change - only ID and name update	103520052	XM_008485146.1	XM_008485146.1	XP_008483368.1	Dcitr03424.1	MCOT00878.2.CT	
no change - only ID and name update	103520051	XM_008485145.1	XM_008485145.1	XP_008483367.1	Dcitr03428.1		
no change - only ID and name update	103520048	XM_008485142.1	XM_008485142.1	XP_008483364.1	Dcitr03427.2	MCOT01763.0.CO	
no change - only ID and name update	103520048	XM_008485141.1	XM_008485141.1	XP_008483363.1	Dcitr03427.1	MCOT01763.0.CO	
no change - only ID and name update	103520050	XM_008485144.1	XM_008485144.1	XP_008483366.1	Dcitr03426.1	MCOT04866.0.CT	
no change - only ID and name update	103520049	XM_008485143.1	XM_008485143.1	XP_008483365.1	Dcitr03425.1		
no change - only ID and name update	103520047	XM_008485140.1	XM_008485140.1	XP_008483362.1	Dcitr03432.1	MCOT06963.0.MM	
no change - only ID and name update	103520046	XM_008485139.1	XM_008485139.1	XP_008483361.1	Dcitr03431.1	MCOT06963.0.MM	
no change - only ID and name update	103520044	XM_008485138.1	XM_008485138.1	XP_008483360.1	Dcitr03430.1	MCOT15609.0.CC	
no change - only ID and name update	103520043	XM_008485137.1	XM_008485137.1	XP_008483359.1	Dcitr03429.1	MCOT08450.0.MO	FBpp0312164
no change - only ID and name update	103520042	XM_008485136.1	XM_008485136.1	XP_008483358.1	Dcitr03434.1	MCOT04760.1.CO	
no change - only ID and name update	103520041	XM_008485135.1	XM_008485135.1	XP_008483357.1	Dcitr03433.1	MCOT20711.0.CT	FBpp0073120
no change - only ID and name update	103520040	XM_008485134.1	XM_008485134.1	XP_008483356.1	Dcitr03436.1		
no change - only ID and name update	103520039	XM_008485133.1	XM_008485133.1	XP_008483355.1	Dcitr03435.1	MCOT01895.0.CO	
no change - only ID and name update	103520037	XM_008485131.1	XM_008485131.1	XP_008483353.1	Dcitr03438.1		FBpp0076190
no change - only ID and name update	103520038	XM_008485132.1	XM_008485132.1	XP_008483354.1	Dcitr03437.1	MCOT22805.2.CC	
no change - only ID and name update	103520036	XM_008485130.1	XM_008485130.1	XP_008483352.1	Dcitr03441.1		
no change - only ID and name update	103520035	XM_008485129.1	XM_008485129.1	XP_008483351.1	Dcitr03440.1	MCOT01913.1.CC	
no change - only ID and name update	103520034	XM_008485128.1	XM_008485128.1	XP_008483350.1	Dcitr03439.1	MCOT00251.1.CC	
no change - only ID and name update	103520031	XM_008485125.1	XM_008485125.1	XP_008483347.1	Dcitr03444.1	MCOT02344.0.CC	FBpp0085563
no change - only ID and name update	103520033	XM_008485127.1	XM_008485127.1	XP_008483349.1	Dcitr03443.1	MCOT19968.0.CC	
no change - only ID and name update	103520032	XM_008485126.1	XM_008485126.1	XP_008483348.1	Dcitr03442.1	MCOT19764.0.CT	
no change - only ID and name update	103520030	XM_008485123.1	XM_008485123.1	XP_008483345.1	Dcitr03445.1	MCOT01061.0.CT	
no change - only ID and name update	103520029	XM_008485122.1	XM_008485122.1	XP_008483344.1	Dcitr03446.1	MCOT10358.0.OO	
no change - only ID and name update	103520028	XM_008485121.1	XM_008485121.1	XP_008483343.1	Dcitr03447.1	MCOT19802.0.CO	FBpp0305821
no change - only ID and name update	103520027	XM_008485120.1	XM_008485120.1	XP_008483342.1	Dcitr03450.1	MCOT14596.2.CO	
no change - only ID and name update	103520025	XM_008485116.1	XM_008485116.1	XP_008483338.1	Dcitr03449.1	MCOT14596.2.CO	
no change - only ID and name update	103520025	XM_008485117.1	XM_008485117.1	XP_008483339.1	Dcitr03449.2	MCOT14596.2.CO	
no change - only ID and name update	103520026	XM_008485118.1	XM_008485118.1	XP_008483340.1	Dcitr03448.1	MCOT14596.2.CO	
no change - only ID and name update	103520023	XM_008485115.1	XM_008485115.1	XP_008483337.1	Dcitr03452.1	MCOT00842.0.CT	FBpp0075713
no change - only ID and name update	103520022	XM_008485114.1	XM_008485114.1	XP_008483336.1	Dcitr03451.1		
no change - only ID and name update	103520021	XM_008485113.1	XM_008485113.1	XP_008483335.1	Dcitr03454.1	MCOT13457.0.CC	
no change - only ID and name update	103520020	XM_008485112.1	XM_008485112.1	XP_008483334.1	Dcitr03453.1	MCOT06294.1.CT	
no change - only ID and name update	103520019	XM_008485111.1	XM_008485111.1	XP_008483333.1	Dcitr03456.1		
no change - only ID and name update	103520018	XM_008485110.1	XM_008485110.1	XP_008483332.1	Dcitr03455.1	MCOT17947.3.CT	
no change - only ID and name update	103520016	XM_008485109.1	XM_008485109.1	XP_008483331.1	Dcitr03459.1	MCOT11502.0.OO	FBpp0307015
no change - only ID and name update	103520015	XM_008485108.1	XM_008485108.1	XP_008483330.1	Dcitr03458.1	MCOT22032.0.CT	
no change - only ID and name update	103520014	XM_008485107.1	XM_008485107.1	XP_008483329.1	Dcitr03457.1	MCOT09988.0.OO	
no change - only ID and name update	103520013	XM_008485106.1	XM_008485106.1	XP_008483328.1	Dcitr03460.1	MCOT08341.0.MM	
no change - only ID and name update	103520012	XM_008485105.1	XM_008485105.1	XP_008483327.1	Dcitr03461.1	MCOT02054.0.CO	
no change - only ID and name update	103520011	XM_008485104.1	XM_008485104.1	XP_008483326.1	Dcitr03462.1	MCOT03823.2.CC	
no change - only ID and name update	103520009	XM_008485102.1	XM_008485102.1	XP_008483324.1	Dcitr03467.1	MCOT18115.0.CC	
no change - only ID and name update	103520008	XM_008485101.1	XM_008485101.1	XP_008483323.1	Dcitr03466.1	MCOT09233.0.MT	
no change - only ID and name update	103520005	XM_008485098.1	XM_008485098.1	XP_008483320.1	Dcitr03465.1	MCOT23312.0.CT	
no change - only ID and name update	103520006	XM_008485099.1	XM_008485099.1	XP_008483321.1	Dcitr03464.1	MCOT03724.0.CT	
no change - only ID and name update	103520007	XM_008485100.1	XM_008485100.1	XP_008483322.1	Dcitr03463.1	MCOT13391.0.CC	
no change - only ID and name update	103520004	XM_008485097.1	XM_008485097.1	XP_008483319.1	Dcitr03468.1	MCOT21964.0.CT	
no change - only ID and name update	103520003	XM_008485096.1	XM_008485096.1	XP_008483318.1	Dcitr03470.1		
no change - only ID and name update	103520001	XM_008485093.1	XM_008485093.1	XP_008483315.1	Dcitr03469.1		
no change - only ID and name update	103520000	XM_008485092.1	XM_008485092.1	XP_008483314.1	Dcitr03471.1	MCOT13782.0.CT	
no change - only ID and name update	103519998	XM_008485091.1	XM_008485091.1	XP_008483313.1	Dcitr03474.1	MCOT14567.0.CC	
no change - only ID and name update	103519997	XM_008485090.1	XM_008485090.1	XP_008483312.1	Dcitr03473.1		
no change - only ID and name update	103519995	XM_008485088.1	XM_008485088.1	XP_008483310.1	Dcitr03472.1		
no change - only ID and name update	103519993	XM_008485086.1	XM_008485086.1	XP_008483308.1	Dcitr03476.1		
no change - only ID and name update	103519992	XM_008485084.1	XM_008485084.1	XP_008483306.1	Dcitr03475.1		
no change - only ID and name update	103519991	XM_008485083.1	XM_008485083.1	XP_008483305.1	Dcitr03477.1		
no change - only ID and name update	103519988	XM_008485081.1	XM_008485081.1	XP_008483303.1	Dcitr03479.1	MCOT13584.0.CO	FBpp0310193
no change - only ID and name update	103519990	XM_008485082.1	XM_008485082.1	XP_008483304.1	Dcitr03478.1	MCOT15372.1.CO	
no change - only ID and name update	103519987	XM_008485080.1	XM_008485080.1	XP_008483302.1	Dcitr03480.1		
no change - only ID and name update	103519986	XM_008485079.1	XM_008485079.1	XP_008483301.1	Dcitr03481.1	MCOT15547.0.CO	
